short_name,long_name,player_id,player_overall,potential,age,height_cm,weight_kg,value_millions_eur,wage_thousands_eur,pace,shooting,passing,dribbling,defending,physic,player_positions,preferred_foot,nationality_name,league_name,skill_moves,weak_foot,international_reputation,club_name,team_overall,domestic_prestige,def_style,off_chance_creation,overall15,value_millions_eur15,country
J. Oblak,Jan Oblak,200389,89,90,29,188,87,79.0,100.0,46.0,79.0,79.0,90.0,87.0,86.0,GK,Right,Slovenia,La Liga,1,3,5,Atlético Madrid,82.0,9.0,Pressure On Heavy Touch,Balanced,88,57.0,Spain
H. Kane,Harry Kane,202126,89,89,28,188,89,105.5,240.0,69.0,91.0,83.0,83.0,47.0,82.0,ST,Right,England,Premier League,3,5,4,Tottenham Hotspur,81.0,8.0,Balanced,Balanced,86,59.0,England
V. van Dijk,Virgil van Dijk,203376,89,89,30,193,92,84.5,220.0,81.0,60.0,71.0,72.0,90.0,86.0,CB,Right,Netherlands,Premier League,2,3,4,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,83,27.5,England
S. Mané,Sadio Mané,208722,89,89,30,174,69,101.0,155.0,88.0,82.0,80.0,88.0,44.0,77.0,"CF, LM",Right,Senegal,Bundesliga,4,4,4,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,84,39.0,Germany
Ederson,Ederson Santana de Moraes,210257,89,91,28,188,86,88.0,210.0,64.0,93.0,93.0,82.0,88.0,87.0,GK,Left,Brazil,Premier League,1,3,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,83,26.0,England
J. Kimmich,Joshua Walter Kimmich,212622,89,90,27,177,75,105.5,130.0,68.0,72.0,87.0,84.0,83.0,79.0,"CDM, RB, CM",Right,Germany,Bundesliga,3,4,4,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,81,20.5,Germany
Alisson,Alisson Ramsés Becker,212831,89,90,29,193,91,79.0,190.0,54.0,85.0,85.0,85.0,90.0,86.0,GK,Right,Brazil,Premier League,1,3,3,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,80,14.0,England
E. Haaland,Erling Braut Haaland,239085,89,94,21,195,94,160.0,230.0,89.0,91.0,65.0,80.0,49.0,88.0,ST,Left,Norway,Premier League,3,3,4,Manchester City,85.0,10.0,Press After Possession Loss,Possession,58,0.25,England
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,20801,88,88,37,187,83,31.0,86.0,79.0,91.0,76.0,83.0,34.0,72.0,ST,Right,Portugal,Pro League,5,4,5,Al Nassr,73.0,9.0,Pressure On Heavy Touch,Forward Runs,94,95.5,Unknown
L. Modrić,Luka Modrić,177003,88,88,36,172,66,29.0,230.0,73.0,76.0,89.0,88.0,72.0,66.0,CM,Right,Croatia,La Liga,4,4,4,Real Madrid,85.0,10.0,Balanced,Balanced,89,57.0,Spain
T. Kroos,Toni Kroos,182521,88,88,32,183,76,72.0,310.0,53.0,81.0,90.0,81.0,71.0,68.0,CM,Right,Germany,La Liga,3,5,4,Real Madrid,85.0,10.0,Balanced,Balanced,90,79.0,Spain
M. ter Stegen,Marc-André ter Stegen,192448,88,89,30,187,85,68.5,210.0,47.0,87.0,87.0,85.0,85.0,86.0,GK,Right,Germany,La Liga,1,4,4,FC Barcelona,84.0,10.0,Balanced,Possession,85,35.5,Spain
K. Navas,Keylor Navas Gamboa,193041,88,88,35,185,80,10.0,85.0,54.0,75.0,75.0,84.0,87.0,89.0,GK,Right,Costa Rica,Ligue 1,1,3,3,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,85,24.5,France
H. Son,손흥민 孙兴慜,200104,88,88,29,183,78,89.5,230.0,88.0,89.0,80.0,85.0,42.0,69.0,"LW, LM, ST",Right,Korea Republic,Premier League,4,5,4,Tottenham Hotspur,81.0,8.0,Balanced,Balanced,82,28.0,England
Marquinhos,Marcos Aoás Corrêa,207865,88,90,28,183,75,92.0,170.0,79.0,56.0,75.0,74.0,89.0,80.0,CB,Right,Brazil,Ligue 1,3,3,3,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,83,30.5,France
João Cancelo,João Pedro Cavaco Cancelo,210514,88,88,28,182,74,82.5,250.0,85.0,73.0,85.0,85.0,81.0,73.0,"LB, RB",Right,Portugal,Premier League,4,4,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,79,15.0,England
N. Kanté,N'Golo Kanté,215914,88,88,31,168,70,64.0,210.0,72.0,66.0,74.0,81.0,86.0,81.0,"CDM, CM",Right,France,Premier League,2,3,4,Chelsea,84.0,9.0,Balanced,Possession,87,52.5,England
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,218667,88,88,27,173,64,97.5,260.0,74.0,78.0,84.0,92.0,66.0,68.0,"CAM, CM",Left,Portugal,Premier League,4,3,2,Manchester City,85.0,10.0,Press After Possession Loss,Possession,84,43.5,England
G. Donnarumma,Gianluigi Donnarumma,230621,88,92,23,196,90,103.5,110.0,52.0,79.0,79.0,83.0,85.0,90.0,GK,Right,Italy,Ligue 1,1,3,3,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,82,28.5,France
Rúben Dias,Rúben dos Santos Gato Alves Dias,239818,88,91,25,187,82,107.5,230.0,63.0,39.0,66.0,68.0,88.0,88.0,CB,Right,Portugal,Premier League,2,4,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,68,1.3,England
De Gea,David De Gea Quintana,193080,87,87,31,192,76,42.0,150.0,51.0,75.0,75.0,80.0,86.0,88.0,GK,Right,Spain,Premier League,1,3,4,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,90,64.5,England
M. Verratti,Marco Verratti,199556,87,87,29,165,60,77.5,155.0,60.0,61.0,87.0,91.0,79.0,66.0,"CM, CAM",Right,Italy,Ligue 1,4,4,3,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,87,64.5,France
A. Rüdiger,Antonio Rüdiger,205452,87,88,29,190,85,73.5,250.0,82.0,53.0,71.0,67.0,86.0,85.0,CB,Right,Germany,La Liga,2,3,2,Real Madrid,85.0,10.0,Balanced,Balanced,82,24.5,Spain
L. Goretzka,Leon Christoph Goretzka,209658,87,88,27,189,82,91.0,115.0,78.0,82.0,82.0,83.0,81.0,86.0,"CM, CDM",Right,Germany,Bundesliga,3,4,4,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,82,30.0,Germany
M. Maignan,Mike Maignan,215698,87,90,26,191,89,80.0,90.0,51.0,85.0,85.0,82.0,85.0,85.0,GK,Right,France,Serie A,1,4,2,Milan,81.0,9.0,Pressure On Heavy Touch,Forward Runs,72,3.5,Italy
A. Robertson,Andrew Robertson,216267,87,87,28,178,64,72.0,185.0,80.0,61.0,81.0,81.0,82.0,76.0,LB,Left,Scotland,Premier League,3,2,3,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,75,8.0,England
F. de Jong,Frenkie de Jong,228702,87,92,25,180,74,116.5,230.0,82.0,69.0,86.0,87.0,77.0,78.0,CM,Right,Netherlands,La Liga,4,3,3,FC Barcelona,84.0,10.0,Balanced,Possession,72,5.0,Spain
Rodri,Rodrigo Hernández Cascante,231866,87,89,26,191,82,88.5,200.0,58.0,72.0,78.0,79.0,83.0,84.0,CDM,Right,Spain,Premier League,3,4,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,70,2.7,England
Thiago Silva,Thiago Emiliano da Silva,164240,86,86,37,183,79,12.0,115.0,49.0,54.0,73.0,72.0,87.0,75.0,CB,Right,Brazil,Premier League,2,3,4,Chelsea,84.0,9.0,Balanced,Possession,88,34.0,England
H. Lloris,Hugo Lloris,167948,86,86,35,188,82,7.5,74.0,60.0,72.0,72.0,82.0,83.0,87.0,GK,Left,France,Premier League,1,1,4,Tottenham Hotspur,81.0,8.0,Balanced,Balanced,88,38.0,England
Y. Sommer,Yann Sommer,177683,86,86,33,183,79,22.0,43.0,50.0,82.0,82.0,81.0,86.0,78.0,GK,Right,Switzerland,Bundesliga,1,4,3,Borussia Mönchengladbach,78.0,5.0,Balanced,Possession,83,21.0,Germany
W. Szczęsny,Wojciech Tomasz Szczęsny,186153,86,86,32,195,90,33.5,125.0,49.0,73.0,73.0,83.0,86.0,86.0,GK,Right,Poland,Serie A,1,3,3,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,82,18.0,Italy
K. Trapp,Kevin Trapp,188943,86,86,31,189,84,36.0,43.0,46.0,79.0,79.0,82.0,85.0,84.0,GK,Right,Germany,Bundesliga,1,4,3,Eintracht Frankfurt,78.0,6.0,Press After Possession Loss,Forward Runs,82,18.5,Germany
Thiago,Thiago Alcântara do Nascimento,189509,86,86,31,174,70,55.5,180.0,61.0,72.0,87.0,90.0,73.0,69.0,CM,Right,Spain,Premier League,5,3,3,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,88,70.5,England
Parejo,Daniel Parejo Muñoz,189513,86,86,33,182,74,42.0,64.0,50.0,83.0,90.0,80.0,71.0,68.0,"CM, CDM",Right,Spain,La Liga,3,4,2,Villarreal,80.0,8.0,Balanced,Balanced,83,25.5,Spain
T. Müller,Thomas Müller,189596,86,86,32,185,76,54.0,105.0,67.0,83.0,83.0,80.0,55.0,70.0,"CAM, CF",Right,Germany,Bundesliga,3,4,4,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,86,47.5,Germany
C. Immobile,Ciro Immobile,192387,86,86,32,185,85,55.0,100.0,85.0,87.0,68.0,80.0,39.0,75.0,ST,Right,Italy,Serie A,3,4,4,Lazio,79.0,7.0,Press After Possession Loss,Possession,82,26.0,Italy
D. Alaba,David Olatukunbo Alaba,197445,86,86,30,180,78,55.5,220.0,79.0,71.0,83.0,80.0,85.0,77.0,"CB, LB",Left,Austria,La Liga,3,4,4,Real Madrid,85.0,10.0,Balanced,Balanced,86,44.5,Spain
K. Koulibaly,Kalidou Koulibaly,201024,86,86,31,186,89,46.5,165.0,79.0,48.0,63.0,68.0,87.0,85.0,CB,Right,Senegal,Premier League,2,4,3,Chelsea,84.0,9.0,Balanced,Possession,84,32.5,England
Fabinho,Fábio Henrique Tavares,209499,86,86,28,188,78,59.5,170.0,64.0,69.0,78.0,77.0,85.0,83.0,CDM,Right,Brazil,Premier League,3,2,3,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,83,29.5,England
P. Dybala,Paulo Bruno Exequiel Dybala,211110,86,86,28,177,75,69.5,130.0,80.0,85.0,85.0,90.0,40.0,59.0,"CF, CAM",Left,Argentina,Serie A,4,3,3,Roma,80.0,8.0,Balanced,Possession,88,79.0,Italy
Bruno Fernandes,Bruno Miguel Borges Fernandes,212198,86,86,27,179,69,72.5,190.0,72.0,86.0,87.0,81.0,68.0,76.0,"CAM, CM",Right,Portugal,Premier League,4,3,3,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,78,14.5,England
Bruno Fernandes,Bruno Miguel Borges Fernandes,212198,86,86,27,179,69,72.5,190.0,72.0,86.0,87.0,81.0,68.0,76.0,"CAM, CM",Right,Portugal,Premier League,4,3,3,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,78,14.5,England
A. Laporte,Aymeric Laporte,212218,86,87,28,191,85,64.5,195.0,61.0,50.0,72.0,69.0,86.0,79.0,CB,Left,Spain,Premier League,2,3,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,84,35.5,England
K. Coman,Kingsley Junior Coman,213345,86,87,26,181,75,80.0,105.0,92.0,77.0,79.0,87.0,30.0,61.0,"RM, LM",Right,France,Bundesliga,5,3,4,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,79,18.0,Germany
M. Brozović,Marcelo Brozović,216352,86,86,29,181,68,58.0,110.0,69.0,74.0,81.0,81.0,81.0,78.0,"CDM, CM",Right,Croatia,Serie A,3,4,3,Inter,83.0,9.0,Balanced,Forward Runs,81,23.0,Italy
S. Milinković-Savić,Sergej Milinković-Savić,223848,86,87,27,192,76,77.5,90.0,68.0,80.0,82.0,82.0,79.0,86.0,CM,Right,Serbia,Serie A,4,5,3,Lazio,79.0,7.0,Press After Possession Loss,Possession,80,20.0,Italy
N. Barella,Nicolò Barella,224232,86,89,25,175,68,89.5,110.0,79.0,76.0,83.0,84.0,78.0,81.0,CM,Right,Italy,Serie A,3,3,3,Inter,83.0,9.0,Balanced,Forward Runs,70,3.9,Italy
T. Alexander-Arnold,Trent Alexander-Arnold,231281,86,89,23,180,69,86.0,140.0,76.0,69.0,89.0,80.0,79.0,72.0,RB,Right,England,Premier League,3,4,3,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,69,1.9,England
L. Martínez,Lautaro Javier Martínez,231478,86,90,24,174,72,98.5,110.0,83.0,83.0,72.0,85.0,48.0,84.0,ST,Right,Argentina,Serie A,4,4,3,Inter,83.0,9.0,Balanced,Forward Runs,72,6.5,Italy
M. Škriniar,Milan Škriniar,232363,86,87,27,187,80,68.5,105.0,78.0,41.0,57.0,69.0,88.0,86.0,CB,Right,Slovakia,Serie A,2,3,3,Inter,83.0,9.0,Balanced,Forward Runs,74,7.0,Italy
C. Nkunku,Christopher Nkunku,232411,86,89,24,175,73,94.0,90.0,88.0,81.0,83.0,88.0,62.0,66.0,"CF, CAM, ST",Right,France,Bundesliga,5,3,3,RB Leipzig,81.0,8.0,Press After Possession Loss,Balanced,71,3.9,Germany
É. Mendy,Édouard Mendy,234642,86,87,30,197,86,51.0,130.0,34.0,81.0,81.0,82.0,85.0,84.0,GK,Right,Senegal,Premier League,1,2,2,Chelsea,84.0,9.0,Balanced,Possession,68,0.88,England
Vinícius Jr.,Vinícius José Paixão de Oliveira Júnior,238794,86,92,21,176,73,109.0,200.0,95.0,79.0,74.0,90.0,29.0,67.0,LW,Right,Brazil,La Liga,5,4,2,Real Madrid,85.0,10.0,Balanced,Balanced,0,0.0,Spain
P. Gulácsi,Péter Gulácsi,185122,85,85,32,191,86,26.5,65.0,43.0,76.0,76.0,84.0,83.0,85.0,GK,Right,Hungary,Bundesliga,1,2,3,RB Leipzig,81.0,8.0,Press After Possession Loss,Balanced,76,6.0,Germany
İ. Gündoğan,İlkay Gündoğan,186942,85,85,31,180,80,44.0,185.0,64.0,80.0,85.0,85.0,72.0,72.0,"CM, CDM",Right,Germany,Premier League,4,4,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,85,46.0,England
M. Reus,Marco Reus,188350,85,85,33,180,71,33.5,78.0,68.0,84.0,84.0,85.0,53.0,65.0,"CAM, CF, RM",Right,Germany,Bundesliga,4,4,4,Borussia Dortmund,81.0,9.0,Press After Possession Loss,Forward Runs,86,45.0,Germany
K. Walker,Kyle Walker,188377,85,85,32,183,83,37.5,170.0,91.0,63.0,77.0,78.0,80.0,82.0,RB,Right,England,Premier League,3,2,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,83,24.0,England
Jordi Alba,Jordi Alba Ramos,189332,85,85,33,170,68,28.0,190.0,84.0,70.0,82.0,82.0,77.0,70.0,LB,Left,Spain,La Liga,3,3,3,FC Barcelona,84.0,10.0,Balanced,Possession,85,30.5,Spain
Sergio Busquets,Sergio Busquets i Burgos,189511,85,85,33,189,76,26.5,190.0,42.0,62.0,79.0,79.0,82.0,73.0,CDM,Right,Spain,La Liga,3,3,4,FC Barcelona,84.0,10.0,Balanced,Possession,86,36.0,Spain
R. Lukaku,Romelu Lukaku Menama,192505,85,85,29,191,94,54.0,185.0,80.0,85.0,75.0,77.0,38.0,82.0,ST,Left,Belgium,Serie A,3,4,4,Inter,83.0,9.0,Balanced,Forward Runs,86,59.0,Italy
Iago Aspas,Iago Aspas Juncal,192629,85,85,34,176,67,26.0,50.0,82.0,85.0,79.0,86.0,35.0,63.0,ST,Left,Spain,La Liga,3,4,2,Celta de Vigo,77.0,6.0,Pressure On Heavy Touch,Balanced,83,26.0,Spain
P. Pogba,Paul Pogba,195864,85,85,29,191,84,52.5,165.0,67.0,80.0,85.0,85.0,62.0,80.0,"CM, CDM, LM",Right,France,Serie A,5,4,4,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,87,66.5,Italy
R. Varane,Raphaël Varane,201535,85,85,29,191,81,45.0,170.0,81.0,49.0,64.0,66.0,86.0,79.0,CB,Right,France,Premier League,2,4,3,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,85,46.5,England
M. Depay,Memphis Depay,202556,85,85,28,176,78,55.0,230.0,83.0,84.0,82.0,86.0,30.0,79.0,"CF, LW, ST",Right,Netherlands,La Liga,5,3,4,FC Barcelona,84.0,10.0,Balanced,Possession,79,17.0,Spain
R. Sterling,Raheem Sterling,202652,85,85,27,170,69,57.5,180.0,90.0,79.0,78.0,86.0,45.0,67.0,"LW, RW, ST",Right,England,Premier League,4,3,4,Chelsea,84.0,9.0,Balanced,Possession,82,29.5,England
E. Martínez,Damián Emiliano Martínez,202811,85,85,29,195,88,37.0,105.0,58.0,82.0,82.0,83.0,84.0,83.0,GK,Right,Argentina,Premier League,1,4,3,Aston Villa,79.0,5.0,Pressure On Heavy Touch,Forward Runs,70,1.8,England
R. Mahrez,Riyad Mahrez,204485,85,85,31,179,67,44.5,200.0,80.0,81.0,81.0,89.0,38.0,60.0,"RW, RM",Left,Algeria,Premier League,5,4,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,83,30.5,England
Gerard Moreno,Gerard Moreno Balagueró,208093,85,85,30,180,77,53.0,64.0,78.0,86.0,77.0,83.0,46.0,72.0,ST,Left,Spain,La Liga,3,4,2,Villarreal,80.0,8.0,Balanced,Balanced,79,16.5,Spain
F. Kostić,Filip Kostić,208574,85,85,29,184,84,53.0,165.0,85.0,78.0,82.0,82.0,68.0,80.0,"LM, LW, LWB",Left,Serbia,Serie A,3,2,3,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,78,14.0,Italy
F. Kostić,Filip Kostić,208574,85,85,29,184,84,53.0,165.0,85.0,78.0,82.0,82.0,68.0,80.0,"LM, LW, LWB",Left,Serbia,Serie A,3,2,3,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,78,14.0,Italy
Y. Bounou,Yassine Bounou,209981,85,85,31,195,78,28.5,38.0,38.0,78.0,78.0,83.0,84.0,83.0,GK,Left,Morocco,La Liga,1,2,1,Sevilla,81.0,8.0,Pressure On Heavy Touch,Possession,71,2.1,Spain
N. Süle,Niklas Süle,212190,85,87,26,195,99,59.0,72.0,72.0,48.0,66.0,59.0,85.0,83.0,"CB, RB",Right,Germany,Bundesliga,3,3,3,Borussia Dortmund,81.0,9.0,Press After Possession Loss,Forward Runs,83,30.5,Germany
N. Fekir,Nabil Fekir,216594,85,85,28,173,75,54.5,48.0,83.0,82.0,82.0,87.0,38.0,80.0,CAM,Left,France,La Liga,4,4,3,Real Betis,79.0,6.0,Press After Possession Loss,Possession,82,28.0,Spain
M. Acuña,Marcos Javier Acuña,224334,85,85,30,172,69,46.5,46.0,76.0,74.0,83.0,86.0,81.0,84.0,"LB, LM",Left,Argentina,La Liga,3,3,2,Sevilla,81.0,8.0,Pressure On Heavy Touch,Possession,79,16.0,Spain
Diogo Jota,Diogo José Teixeira da Silva,224458,85,88,25,178,73,72.0,170.0,85.0,83.0,75.0,85.0,57.0,77.0,"CF, LW",Right,Portugal,Premier League,4,5,2,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,77,14.0,England
T. Hernández,Theo Bernard François Hernández,232656,85,90,24,184,81,76.0,82.0,93.0,72.0,76.0,81.0,78.0,83.0,LB,Left,France,Serie A,3,3,3,Milan,81.0,9.0,Pressure On Heavy Touch,Forward Runs,75,9.0,Italy
G. Kobel,Gregor Kobel,235073,85,89,24,195,88,61.0,48.0,44.0,74.0,74.0,84.0,81.0,84.0,GK,Right,Switzerland,Bundesliga,1,3,1,Borussia Dortmund,81.0,9.0,Press After Possession Loss,Forward Runs,65,0.95,Germany
M. de Ligt,Matthijs de Ligt,235243,85,89,22,189,89,71.0,77.0,70.0,59.0,61.0,68.0,84.0,87.0,CB,Right,Netherlands,Bundesliga,2,3,3,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,76,11.5,Germany
P. Foden,Philip Foden,237692,85,92,22,171,69,109.5,180.0,82.0,78.0,83.0,88.0,57.0,60.0,"LW, CF, CAM",Left,England,Premier League,4,3,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,65,1.1,England
F. Valverde,Federico Santiago Valverde Dipetta,239053,85,90,23,182,78,81.0,190.0,88.0,79.0,82.0,81.0,78.0,82.0,"CM, RW",Right,Uruguay,La Liga,3,4,1,Real Madrid,85.0,10.0,Balanced,Balanced,70,3.6,Spain
Pedri,Pedro González López,251854,85,92,19,174,61,104.5,115.0,79.0,67.0,81.0,87.0,68.0,74.0,CM,Right,Spain,La Liga,4,4,2,FC Barcelona,84.0,10.0,Balanced,Possession,0,0.0,Spain
J. Bellingham,Jude Victor William Bellingham,252371,85,91,19,186,75,81.5,44.0,72.0,75.0,79.0,84.0,78.0,80.0,CM,Right,England,Bundesliga,4,4,2,Borussia Dortmund,81.0,9.0,Press After Possession Loss,Forward Runs,0,0.0,Germany
G. Chiellini,Giorgio Chiellini,138956,84,84,37,187,85,7.5,11.0,65.0,46.0,60.0,58.0,85.0,83.0,CB,Left,Italy,Major League Soccer,2,3,4,Los Angeles FC,73.0,8.0,Press After Possession Loss,Balanced,89,38.0,Unknown
A. Gómez,Alejandro Darío Gómez,143076,84,84,34,167,68,20.0,47.0,84.0,77.0,82.0,86.0,39.0,56.0,"CAM, LW, CM",Right,Argentina,La Liga,4,4,3,Sevilla,81.0,8.0,Pressure On Heavy Touch,Possession,84,31.0,Spain
Sergio Ramos,Sergio Ramos García,155862,84,84,36,184,82,7.5,75.0,61.0,69.0,73.0,70.0,83.0,77.0,CB,Right,Spain,Ligue 1,3,3,4,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,90,52.0,France
D. Mertens,Dries Mertens,175943,84,84,35,169,61,17.5,77.0,79.0,80.0,80.0,86.0,39.0,48.0,"CAM, CF",Right,Belgium,Super Lig,4,4,3,Galatasaray,76.0,10.0,Pressure On Heavy Touch,Forward Runs,86,43.0,Turkey
M. Hummels,Mats Hummels,178603,84,84,33,191,94,20.0,66.0,51.0,59.0,76.0,72.0,87.0,78.0,CB,Right,Germany,Bundesliga,3,3,4,Borussia Dortmund,81.0,9.0,Press After Possession Loss,Forward Runs,88,48.0,Germany
E. Džeko,Edin Džeko,180930,84,84,36,193,80,14.5,80.0,63.0,84.0,71.0,77.0,45.0,75.0,ST,Right,Bosnia and Herzegovina,Serie A,3,5,3,Inter,83.0,9.0,Balanced,Forward Runs,84,28.0,Italy
E. Hazard,Eden Michael Hazard,183277,84,84,31,175,74,35.0,220.0,83.0,79.0,82.0,87.0,35.0,63.0,LW,Right,Belgium,La Liga,4,4,4,Real Madrid,85.0,10.0,Balanced,Balanced,90,90.5,Spain
Á. Di María,Ángel Fabián Di María Hernández,183898,84,84,34,180,69,20.0,160.0,79.0,78.0,86.0,88.0,48.0,67.0,RW,Left,Argentina,Serie A,5,2,4,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,85,37.5,Italy
K. Trippier,Kieran Trippier,186345,84,84,31,173,71,30.5,120.0,70.0,65.0,84.0,77.0,81.0,72.0,"RB, RM",Right,England,Premier League,3,4,2,Newcastle United,79.0,5.0,Pressure On Heavy Touch,Balanced,78,10.0,England
P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,188567,84,84,33,187,80,27.0,165.0,87.0,84.0,74.0,79.0,36.0,66.0,ST,Right,Gabon,Premier League,4,4,3,Chelsea,84.0,9.0,Balanced,Possession,88,61.0,England
Muniain,Iker Muniain Goñi,189575,84,84,29,170,66,41.5,49.0,81.0,77.0,82.0,87.0,51.0,61.0,"LM, CAM",Right,Spain,La Liga,4,3,2,Athletic Club,79.0,7.0,Balanced,Forward Runs,78,14.0,Spain
Canales,Sergio Canales Madrazo,190286,84,84,31,176,65,35.0,42.0,83.0,79.0,85.0,83.0,68.0,72.0,"RM, CAM, LM",Left,Spain,La Liga,4,3,2,Real Betis,79.0,6.0,Press After Possession Loss,Possession,79,15.5,Spain
K. Casteels,Koen Casteels,192984,84,85,30,197,86,31.5,55.0,45.0,79.0,79.0,82.0,84.0,84.0,GK,Left,Belgium,Bundesliga,1,2,3,VfL Wolfsburg,76.0,6.0,Press After Possession Loss,Possession,78,9.0,Germany
A. Griezmann,Antoine Griezmann,194765,84,84,31,176,73,35.5,88.0,78.0,83.0,83.0,85.0,57.0,73.0,"ST, CF",Left,France,La Liga,4,3,4,Atlético Madrid,82.0,9.0,Pressure On Heavy Touch,Balanced,88,75.0,Spain
J. Matip,Joël Andre Job Matip,197061,84,84,30,194,90,34.5,140.0,62.0,46.0,69.0,71.0,87.0,78.0,CB,Right,Cameroon,Premier League,2,2,2,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,83,26.5,England
